	USP																							
FLORIDA BLUE BAY	Rami vieta su gražiais vaizdais, tinkama šeimoms.																							
FODELE BEACH & WATER PARK HOLIDAY RESORT	Didelis vandens parkas ir aukštos kokyb?s paslaugos.																							
GENNADI GRAND RESORT	Modernus ir ekologiškas prabangus resortas.																							
GEORGALAS REST APARTMENTS	Paprasti apartamentai ekonomiškam poilsiui.																							
GEORGALAS SUN BEACH HOTEL	Nedidelis viešbutis vos keli žingsniai nuo j?ros.																							
GEORGALAS SUN BEACH VILLA	Privatesn?, jauki vila šalia papl?dimio.																							
GLAROS BEACH HOTEL	Puiki vieta prie j?ros ir modern?s numeriai.																							
GLAROS ROYAL BEACH HOTEL	Komfortiškas viešbutis su maloniu aptarnavimu.																							
GOLDEN BAY BOUTIQUE HOTEL & BUNGALOWS	Stilingi bungalo tipo numeriai ramioje vietoje.																							
GOLDEN BEACH HOTEL	Šeim? m?gstamas viešbutis su gera lokacija.																							
GOLDEN MARE BARBATI HOTEL	Nuostab?s j?ros vaizdai ir moderni aplinka.																							
GOLDEN VALENTIN APARTMENTS	Atsipalaidavimui pritaikyti apartamentai su baseinu.																							
GOUVIA HOTEL	Ekonomiškas, patogioje vietoje esantis viešbutis.																							
GRAND ELIS HOTEL & SPA RESORT	Prabangus kompleksas su dideliu SPA centru.																							
GRAND HOTEL HOLIDAY RESORT	Komfortiškas šeimyninis viešbutis su keliais baseinais.																							
GRECOTEL CASA ADELE	Mažas boutique viešbutis su aukštu aptarnavimo lygiu.																							
GRECOTEL CASA MARRON	Šeim? resortas su gražiu papl?dimiu ir kokybišku maitinimu.																							
GRECOTEL CASA PARADISO	Papl?dimio viešbutis su daug veiklos vaikams.																							
GRECOTEL CRETA PALACE	Prabangi klasika su puikiu papl?dimiu ir aukštu aptarnavimo lygiu.																							
GRECOTEL DAPHNILA BAY	Graži žaluma, sm?l?tas papl?dimys ir rami aplinka.																							
GRECOTEL EVA PALACE AT KOMMENO PENINSULA	Elegantiška prabanga ant kalvos su stulbinan?iais vaizdais.																							
GRECOTEL FILOXENIA KALAMATA	Ramus viešbutis ant j?ros kranto Kalamatoje.																							
GRECOTEL LA RIVIERA AT RIVIERA OLYMPIA AQUA PARK	Prabangus paj?rio kurortas su didžiuliu vandens parku ir aukš?iausio lygio paslaugomis.																							
GRECOTEL LUXME COSTA BOTANICA	 „ultra all inclusive“ koncepcija, didelis vandens parkas ir žali plotai.																							
GRECOTEL LUXME DAMA DAMA	Stilingas, žalias kurortas su prabangiu aptarnavimu ir puikiu papl?dimiu.																							
GRECOTEL LUXME KOS	Prabangus, šiuolaikiškas resortas su puikiu maistu ir papl?dimiu.																							
GRECOTEL LUXME OASIS AT RIVIERA OLYMPIA AQUA PARK	Modernus viešbutis su „LuxMe“ patirtimi ir nemokamu vandens parko naudojimu.																							
GRECOTEL LUXME WHITE	Stilingas boutique kurortas ant sm?lio papl?dimio.																							
GRECOTEL MARINE PALACE & AQUA PARK	Puikus pasirinkimas šeimoms, didelis vandens parkas ir animacija.																							
GRECOTEL MELI PALACE	Ramus kurortas poroms ir šeimoms su sm?lio papl?dimiu.																							
GRECOTEL PALLAS ATHENA	Miesto boutique viešbutis At?n? centre, meno tematikos interjerai.																							
GRECOTEL PALMS AT RIVIERA OLYMPIA AQUA PARK	Šeim? viešbutis su prieiga prie didžiulio vandens parko.																							
GRECOTEL PLAZA BEACH HOUSE	Modernus paj?rio viešbutis su apartament? tipo numeriais.																							
GRECOTEL VILLA OLIVA	Jauk?s bungalow stiliaus nameliai žalioje aplinkoje.																							
HARMONY RETHYMNO BEACH HOTEL	Ant papl?dimio esantis modernus viešbutis su gera vieta.																							
HELEA LIFESTYLE BEACH RESORT	Prabangus ir naujas resortas su dizaino akcentais ir pla?iu papl?dimiu.																							
HELLINIS HOTEL-CORFU GOLDEN HOTELS	Geras ekonominis pasirinkimas netoli j?ros.																							
HERSONISSOS MARIS	Tradicin? architekt?ra, jaukus kompleksas arti papl?dimio.																							
HERSONISSOS PALACE	Centrin?je vietoje esantis miesto tipo  viešbutis.																							
HERSONISSOS VILLAGE HOTEL & BUNGALOWS	Kalvos viešbutis su puikiais j?ros vaizdais ir bungalow tipo numeriais.																							
HORIZON BEACH HOTEL	Ant j?ros kranto, graž?s vaizdai ir ramyb?.																							
HOTEL PARTHENON 24	Ekonomiškas nakvyn?s variantas geroje vietoje.																							
HYDRAMIS PALACE BEACH RESORT	Komfortiškas kurortas ant papl?dimio su erdviais numeriais.																							
I-RESORT, BEACH HOTEL & SPA	Modernus viešbutis su puikiu SPA ir panoraminiais vaizdais.																							
IBEROSTAR SELECTION CRETA MARINE	Prabang?s numeriai, terasa ant j?ros ir aukštos kokyb?s maistas.																							
IBEROSTAR WAVES CRETA PANORAMA & MARE	Labai geras + viešbutis su gražia teritorija ir ?lankomis.																							
IKAROS BEACH LUXURY RESORT & SPA	Prabangus bungalow stiliaus resortas ant papl?dimio.																							
IKONES SEAFRONT LUXURY SUITES	Tik suaugusiems, labai modernus ir aukštos kokyb?s.																							
ILIOSTASI BEACH APARTMENTS	Jauk?s apartamentai šalia papl?dimio, ekonomiškas pasirinkimas.																							
ILYSSION BEACH RESORT	Ramus viešbutis su gražia ?lanka ir patogia vieta.																							
INNSIDE ELOUNDA BY MELIA	Naujas prabangus viešbutis su nuostabiais vaizdais.																							
INTERCONTINENTAL CRETE	Prabangus naujos kartos viešbutis su aukš?iausio lygio paslaugomis.																							
IRENE PALACE BEACH RESORT	Šeimoms draugiškas viešbutis su sm?l?tu papl?dimiu ir aktyvia animacija.																							
ISTRON VILLAS - BAY VILLAS	Privat?s nameliai su vaizdu ? ?lank? – ramyb?s ir privatumo pasirinkimas.																							
ISTRON VILLAS - VILLAGE VILLAS	Jaukios vilos tarp žalumos, tinka ramiam poilsiui.																							
JO AN BEACH	Viešbutis ant sm?lio papl?dimio su patogia vieta Rethymno regione.																							
JO AN PALACE	Miestinis viešbutis Rethymno centre su stogo terasa ir baseinu.																							
JOHN MARY APARTMENTS	Ekonomiški apartamentai netoli papl?dimio.																							
KAHLUA BOUTIQUE HOTEL	Stilingas boutique viešbutis pa?iame Hersonissos centre.																							
KAHLUA SEA VIEW SUITES	Modern?s numeriai su j?ros vaizdu, puikus variantas poroms.																							
KALOGRIA BEACH RESORT	Didel? žalia teritorija, sm?lio papl?dimys ir daug pramog?.																							
KANELLI HOTEL	Jaukus šeimos valdomas viešbutis ant j?ros kranto.																							
KARTEROS HOTEL	Ekonomiškas viešbutis netoli Herakliono.																							
KASAPAKIS HOTEL & APARTMENTS	Paprasti, ekonomiški apartamentai šalia j?ros.																							
KASSAVETIS CENTER - HOTEL STUDIOS & APARTMENTS	Puiki lokacija prie bar? ir pramog?, tinka jaunimui.																							
KERKYRA BLUE HOTEL & SPA BY LOUIS HOTELS	Modernus  resortas su puikiu papl?dimiu ir aukštu aptarnavimu.																							
KING MINOS RETREAT RESORT & SPA	Prabangus viešbutis su panoraminiais vaizdais ir puikiu SPA.																							
KIOTARI MIRALUNA BEACH RESORT	Šeimoms draugiškas resortas su baseinais ir gera vieta prie j?ros.																							
KITRO BEACH HOTEL	Paprastas ekonominis viešbutis su nuostabia j?ros panorama.																							
KNOSSOS BEACH BUNGALOWS SUITES RESORT & SPA	Ant papl?dimio, bungalow stiliaus numeriai ir aukštas komforto lygis.																							
KNOSSOS VILLAS	Prabangios priva?ios vilos su baseinais ir pilnu aptarnavimu.																							
KONI VILLAGE HOTEL	Ekonomiškas viešbutis su gražiais vaizdais kalvos šlaite.																							
KONTOKALI BAY RESORT & SPA	Prestžinis  kurortas su priva?iu papl?dimiu ir puikiu SPA.																							
KORALLI BEACH	Ekonominis variantas ant sm?lio papl?dimio.																							
KRESTEN PALACE HOTEL	Didel? teritorija, baseinai ir gera kainos/kokyb?s santykis.																							
KRESTEN ROYAL EUPHORIA RESORT	Prabangus ir modernus viešbutis su puikiu maistu ir papl?dimiu.																							
KRITI BEACH HOTEL	Ant papl?dimio, vos kelios minut?s nuo Rethymno centro.																							
KYMA SUITES BEACH HOTEL	Stilingas viešbutis su puikia vieta ir aukštos kokyb?s paslaugomis.																							
LAGUNA HOLIDAY RESORT	Šeimoms tinkamas viešbutis su baseinais ir žalia aplinka.																							
LARDOS BAY HOTEL	Ekonomiškas viešbutis netoli sm?lio papl?dimio.																							
LEFKONIKO BAY	Patog?s apartamentai šeimoms, arti Rethymno centro.																							
LEFKONIKO BEACH	Viešbutis ant papl?dimio su gera kaina ir paprastais numeriais.																							
LIBERTY HOTEL	Ekonomiškas viešbutis su jaukia atmosfera netoli j?ros.																							
LINDIAN DREAM SEASIDE RESORT	Modernus paj?rio resortas su erdviais numeriais ir ramia aplinka.																							
LINDIAN VILLAGE ALL INCLUSIVE RESORT RHODES, CURIO COLLECTION BY HILTON	Prabangus Hilton kolekcijos viešbutis su aukš?iausio lygio aptarnavimu.																							
LINDOS GRAND RESORT & SPA	Suaugusi?j? viešbutis su ?sp?dingu infinity baseinu ir moderniu dizainu.																							
LINDOS IMPERIAL RESORT & SPA	Didel? teritorija, daug pramog? šeimoms ir puik?s vandens kalneliai.																							
LINDOS PRINCESS BEACH RESORT & SPA	Patogi vieta ant sm?lio papl?dimio, puikus pasirinkimas šeimoms.																							
LINDOS ROYAL RESORT	Baseinai, graži teritorija ir lengvas pri?jimas prie papl?dimio.																							
LINDOS VILLAGE RESORT & SPA	Rami vieta, stilingas suaugusi?j? konceptas ir puikus SPA.																							
LINO MARE BOUTIQUE	Jaukus boutique viešbutis netoli j?ros.																							
LITO HOTEL	Paprastas, ekonomiškas viešbutis geroje vietoje Ialyssos rajone.																							
LIVADI NAFSIKA HOTEL	Patogus viešbutis šeimoms su gera vieta Dasia kurorte.																							
LYTTOS BEACH	Milžiniška teritorija, vandens parkas ir stipri animacija šeimoms.																							
LYTTOS MARE	Naujas modernus  resortas su ?sp?dinga infrastrukt?ra.																							
MALIA BAY BEACH HOTEL & BUNGALOWS	Viešbutis ant papl?dimio su ramia aplinka.																							
MALIA HOLIDAYS BY CHC GROUP	Geras kainos ir kokyb?s santykis, tinka jaunimui.																							
MANDOLA ROSA A GRECOTEL RESORT TO LIVE	Prabangus GRECOTEL kolekcijos viešbutis su vilomis ir išskirtiniu aptarnavimu.																							
MANOUSOS CITY HOTEL	Miestinis viešbutis Rodo mieste, puikus pasirinkimas aktyviems keliautojams.																							
MARBELLA, MAR-BELLA COLLECTION	Aukš?iausio lygio prabangus resortas su puikiu maistu ir vaizdais.																							
MARE DEI SUITES HOTEL IONIAN RESORT	Rami vieta, erdv?s numeriai ir nuostabus j?ros kraštovaizdis.																							
MARE OLYMPUS APARTMENTS	Ekonomiški apartamentai miesto centre.																							
MAREBLUE BEACH RESORT	Puikus pasirinkimas šeimoms – didel? teritorija ir gražus papl?dimys.																							
MARILISA HOTEL	Jaukus viešbutis arti j?ros, tinkamas ramaus poilsio m?g?jams.																							
MARINE CONGO HOTEL	Paprastas miesto viešbutis netoli Rodo centro.																							
MARIRENA HOTEL	Ekonomiškas viešbutis Amoudara kurorte.																							
MATOULA BEACH HOTEL	Patogus viešbutis šeimoms su geru aptarnavimu.																							
MAY HOTEL	Šeimoms draugiškas viešbutis tvarkingoje, žalioje teritorijoje.																							
MAYIA EXCLUSIVE RESORT & SPA	Premium suaugusi?j? resortas su išskirtine viskas ?skai?iuota programa.																							
MEDITERRANEAN HOTEL RHODES	Centrin? vieta Rodo mieste ir puikus maistas.																							
MEDITERRANEO HOTEL	Šeimoms tinkamas viešbutis arti Hersonissos pramog?.																							
MELITI HOTEL	Stilingas viešbutis suaugusiems su nuostabiu ?lankos vaizdu.																							
MERCURE RHODES ALEXIA HOTEL & SPA	Modernus paj?rio viešbutis arti Rodo miesto centro.																							
MGALLERY NIKO SEASIDE RESORT	Prabangus suaugusi?j? resortas su nuostabiais j?ros vaizdais.																							
MICHELANGELO RESORT	Baseinai su panorama ir rami aplinka Kos saloje.																							
MINOS AMBASSADOR ALL SUITES & SPA	Prabang?s numeriai su išskirtiniu aptarnavimu suaugusiems.																							
MINOS BEACH ART HOTEL	Stilingas boutique resortas su priva?iomis vilomis ir aukštu servisu.																							
MINOS HOTEL	Jaukus viešbutis netoli sm?lio papl?dimio.																							
MINOS PALACE RESORT	Prabangi suaugusi?j? oaz? su nuostabia ?lanka.																							
MIRABELLO BAY LUXURY RESORT	Didel? teritorija, graž?s vaizdai ir ramus poilsis.																							
MIRAGGIO THERMAL SPA RESORT	Top lygio SPA, privatus papl?dimys ir ?sp?dinga infrastrukt?ra.																							
MIRAMARE RESORT & SPA	Viešbutis ant kalvos su panoraminiais j?ros vaizdais.																							
MISTRAL BAY HOTEL	Puiki miesto vieta, vaizdas ? Mirabello ?lank?.																							
MITSIS ALEXANDER THE GREAT	Geras servisas ant papl?dimio, tinkamas poroms ir šeimoms.																							
MITSIS BALI PARADISE	Patogus viešbutis arti papl?dimio mažame, jaukiame kurorte.																							
MITSIS CRETAN VILLAGE	Tradicinio stiliaus kompleksas šeimoms su geru maistu.																							
MITSIS SELECTION ALILA	Prabangus Mitsis su premium viskas ?skai?iuota.																							
MOLFETTA BEACH HOTEL	Jaukiai ?sik?r?s viešbutis šalia j?ros Gouvia miestelyje.																							
MON REPOS HOTEL	Ekonomiškas pasirinkimas arti j?ros.																							
MON REPOS PALACE OPERATED BY ELLA RESORTS	Stilingas suaugusi?j? viešbutis su puikia vieta.																							
MOXY PATRA MARINA	Modernus, jaunatviškas viešbutis su vaizdu ? j?r?.																							
MR & MRS WHITE CORFU	Boutique stiliaus viešbutis ramesn?je vietoje.																							
MYKONOS BLU A GRECOTEL RESORT TO LIVE	Prabanga, vilos ir ?sp?dingi Eg?jo j?ros vaizdai.																							
MYKONOS LOLITA A GRECOTEL RESORT TO LIVE	Jaukus stiliaus viešbutis gražioje ?lankoje.																							
MYTHOS PALACE RESORT	Puikus pasirinkimas šei­moms – didel? teritorija ir geras servisas.																							
MYTHOS PALACE RESORT & SPA	Paj?rio resortas su SPA ir erdviais numeriais.																							
MYTHOS PANORAMA	Modernus kompleksas su panorama ir aukšto lygio aptarnavimu.																							
NALU RESORT & SPA	Naujas prabangus viešbutis ant papl?dimio.																							
NANA GOLDEN BEACH	Didelis šeimyninis resortas su vandens pramogomis.																							
NANA PRINCESS	Luxury kolekcija su priva?iais baseinais ir aukš?iausiu servisu.																							
NANA ROYAL	Modernus premium lygio viešbutis Nana komplekse.																							
NASOS HOTEL & RESORT	Patogus viešbutis šalia papl?dimio, geras kainos/kokyb?s santykis.																							
NEFELI HOTEL	Geras  viešbutis ramesn?je vietoje, arti papl?dimio.																							
NEMA DESIGN HOTEL & SPA	Stilingas suaugusi?j? viešbutis su moderniu SPA.																							
NIDO, MAR-BELLA COLLECTION	Prabangus suaugusi?j? resortas su ?sp?dinga j?ros panorama.																							
NIFOREIKA BEACH HOTEL & BUNGALOWS	Ramus, jaukus viešbutis ant j?ros kranto.																							
NIRIIDES PALACE HOTEL	Švarus ir patogus viešbutis su gera lokacija.																							
NIRVANA BEACH HOTEL	Ekonomiškas pasirinkimas arti papl?dimio.																							
Oasis Hotel	Paprastas, tvarkingas viešbutis gerai vietai už ger? kain?.																							
OASIS HOTEL CORFU	Graž?s vaizdai ? j?r?, draugiška atmosfera.																							
OCEANIS BEACH & SPA RESORT	Suaugusi?j? viešbutis su puikiu maistu ir servisu.																							
OKTOBER DOWNTOWN BOUTIQUE	Jaunatviškas miesto viešbutis Rodo centre.																							
OLIVE GARDEN HOTEL	Šeimoms tinkantis viešbutis su dideliu baseinu.																							
OLYMPIA GOLDEN BEACH RESORT & SPA	Prabangus resortas su didel?mis vilomis ir VIP aptarnavimu.																							
OLYMPIC PALLADIUM	Miesto viešbutis Rethymno centre, arti j?ros.																							
OLYMPOS BEACH HOTEL	Poilsis ant papl?dimio su geru kainos/kokyb?s santykiu.																							
ORION HOTEL	Jaukus, paprastas viešbutis arti centro.																							
OROS LUXURY BEACH RESORT	Naujas, modernus resortas su aukšto lygio infrastrukt?ra.																							
OUT OF THE BLUE RESORT & SPA	Didelis kompleksas su SPA, papl?dimiu ir pramogomis.																							
PALAZZO VECCHIO EXCLUSIVE RESIDENCE	Boutique viešbutis istoriniame pastate.																							
PALLADION HOTEL	Paprastas, tvarkingas viešbutis netoli j?ros.																							
PANORAMA SIDARI HOTEL	Jaukus ekonomiškas viešbutis Sidari miestelyje.																							
PANORAMA VILLAGE HOTEL	Už kalvos ?sik?r?s viešbutis su gražiais vaizdais.																							
PANTOKRATOR HOTEL	Viešbutis su ?sp?dinga panorama, rekomenduojamas poroms.																							
PARADISE HOTEL	Paprastas viešbutis geroje vietoje.																							
PARALOS KOSTA ALIMIA	Modernus prabangus viešbutis ant papl?dimio.																							
PARALOS LIFESTYLE BEACH	Suaugusi?j? viešbutis su moderniu dizainu.																							
PARALOS RODOS LIFESTYLE	Naujas, stilingas suaugusi?j? viešbutis.																							
PARALOS VENUS SUITES	Prabang?s, erdv?s numeriai su moderniomis detal?mis.																							
PAVLINA BEACH	Ramus paj?rio viešbutis su gražiais vaizdais.																							
PEARL BEACH	Patogus viešbutis šalia j?ros, netoli miesto.																							
PEGASOS DELUXE BEACH HOTEL	Populiarus paj?rio resortas su puikiomis paslaugomis.																							
PETRADI BEACH LOUNGE HOTEL	Modernus viešbutis ant papl?dimio, arti Rethymno.																							
PHAEA BLUE	Prabangus, boutique stiliaus viešbutis su aukštu servisu.																							
PHAEA CRETAN MALIA	Stilingas, ramus ir modernus poilsio kompleksas.																							
PHILOXENIA HOTEL & SPA	Švarus ekonominis viešbutis netoli papl?dimio.																							
PILOT BEACH RESORT & SPA	Didelis šeim? resortas su puikiu papl?dimiu.																							
PNOE BREATHING LIFE	Prabangus, itin modernus naujas viešbutis poroms.																							
PORTES BEACH HOTEL	Šeimoms tinkantis viešbutis su geru aptarnavimu.																							
PORTO CARRAS MELITON HOTEL	Didžiulis kompleksas su marina, vynuogynais ir golfu.																							
PORTO DEMO BOUTIQUE HOTEL	Suaugusi?j? viešbutis su stilingais kambariais.																							
PORTO ELOUNDA GOLF & SPA RESORT	Prabangus golfo ir SPA resortas ant j?ros kranto.																							
PORTO RIO HOTEL	Didelis poilsio kompleksas su papl?dimiu.																							
PORTOKALI HOTEL APARTMENTS	Ekonomiški apartamentai ramiame regione.																							
POSEIDON	Paprastas, tvarkingas viešbutis arti j?ros.																							
POTAMAKI BEACH HOTEL	Geras kainos/kokyb?s santykis, puiki lokacija.																							
PRINCESS ANDRIANA RESORT & SPA	Modernus ir labai populiarus šeim? resortas.																							
PRINCESS SUN HOTEL & SPA	Ramioje vietoje ?sik?r?s kokybiškas viešbutis.																							
PYLEA BEACH HOTEL	Švarus, ramus viešbutis ant papl?dimio.																							
RAMADA BY WYNDHAM ATHENS ATTICA RIVIERA	Prabangus ant j?ros kranto su SPA.																							
RETHYMNO MARE & WATER PARK HOTEL	Didelis šeimoms draugiškas viešbutis su vandens kalneliais.																							
RETHYMNO MARE ROYAL & WATER PARK HOTEL	Prabangesnis Rethymno Mare variantas.																							
RIMONDI BOUTIQUE HOTELS	Stilingas boutique viešbutis senamiestyje.																							
RODOS PALACE	Žinomas resortas su didele teritorija ir geru servisu.																							
RODOS PALLADIUM LEISURE & WELLNESS	Rekomenduojamas už aukšt? kokyb?, ant papl?dimio.																							
RODOS PARK	Prabangus miesto viešbutis su puikiu servisu.																							
RODOS PRINCESS BEACH RESORT & SPA	Geras šeimoms, su gražiu papl?dimiu.																							
RODOSTAMO HOTEL & SPA	Suaugusi?j? orientuotas stilingas resortas su nuostabia panorama.																							
ROSSIS BEACH HOTEL	Paprastas, ramus viešbutis prie j?ros.																							
ROXANI HOTEL	Biudžetinis viešbutis arti Herakliono.																							
ROYAL & IMPERIAL BELVEDERE	Didelis šeimoms puikiai tinkantis kompleksas su daug pramog?.																							
ROYAL APARTHOTEL	Paprasti apartamentai miesto centre.																							
ROYAL MARMIN BAY BOUTIQUE & ART HOTEL	Prabangus boutique viešbutis Elundoje, su nuostabiais vaizdais.																							
ROYAL OLYMPIC	Prabangus miesto viešbutis At?nuose, šalia Akropolio.																							
SABINA HOTEL	Ramus, paprastas viešbutis arti papl?dimio Rodo saloje.																							
SAINT GEORGE GOURNES BAY	Šeimoms tinkantis viešbutis su geru kainos/kokyb?s santykiu.																							
SAINT GEORGE PALACE HOTEL	Jaukus viešbutis netoli j?ros, geras poilsis šeimoms.																							
SANDY BEACH RESORT	Didelis paj?rio resortas su daug pramog?.																							
SANDY VILLAS RESORT	Prabanga, ramyb? ir privat?s baseinai – vil? kompleksas.																							
SEA BIRD HOTEL	Paprastas, ekonominis viešbutis su gera lokacija.																							
SEASIDE A LIFESTYLE RESORT	Suaugusi?j? viešbutis su labai moderniu dizainu ir puikia virtuve.																							
SECRET PARADISE HOTEL & SPA	Miesto viešbutis arti papl?dimio, geras SPA.																							
SEMIRAMIS VILLAGE HOTEL	Kalvotoje vietoje, graž?s vaizdai, paprastas 4*.																							
SENSEANA SEA SIDE RESORT & AQUADVENTURE	Naujas, labai modernus resortas su dideliu aquaparku.																							
SENTIDO KYKNOS BEACH HOTEL	Šeimoms tinkantis viešbutis su geru papl?dimiu.																							
SENTIDO PORT ROYAL VILLAS & SPA	Suaugusi?j?, itin gerai vertinamas prabangus viešbutis.																							
SERGIOS HOTEL	Paprastas miesto viešbutis Hersonisose.																							
SILVA BEACH	Stilingas viešbutis ant j?ros, labai patogi vieta.																							
SIRENA BEACH HOTEL	Šeimyninis viešbutis ant j?ros.																							
SIRENE BEACH HOTEL	Tvarkingas paj?rio viešbutis su gera lokacija Rode.																							
SOL BY MELIA COSMOPOLITAN RHODES	Populiarus viešbutis šeimoms ir poroms.																							
SOL BY MELIA MARINA BEACH CRETE	Baseinai, j?ra ir gera animacija – puikus 4* variantas.																							
SOLIMAR RUBY HOTEL	Jaukus viešbutis su geru servisu.																							
STAR BEACH VILLAGE & WATER PARK	Labai populiarus su didžiuliu vandens parku – jaunimui ir šeimoms.																							
STELLA BLUE SEASIDE RESORT	Ramus paj?rio viešbutis.																							
STELLA ISLAND LUXURY RESORT & SPA	Vienas žinomiausi? suaugusi?j? viešbu?i? Graikijoje (Maldiv? stilius).																							
STELLA PALACE AQUA PARK RESORT	Didelis šeim? resortas su puikiu aquaparku.																							
STELLA VILLAGE SEASIDE HOTEL	Šalia Stella Palace, geras kainos/kokyb?s santykis.																							
SUN BEACH RESORT	Patogi lokacija, šeimoms skirtas paj?rio viešbutis.																							
SUNNY DAYS HOTEL	Tvarkingas viešbutis arti papl?dimio.																							
SUNSET BEACH HOTEL CRETE	Ekonominis, paprastas viešbutis šalia j?ros.																							
SUNSHINE CORFU HOTEL & SPA	Didel? teritorija ir nuostabi panorama, geras pasirinkimas šeimoms.																							
SUNSHINE RHODES	Didel? teritorija, papl?dimys ir gera animacija šeimoms.																							
SUNSHINE VILLAGE	Ramus viešbutis poroms ir šeimoms, graž?s vaizdai.																							
TARADELLA HOTEL	Paprastas, ekonominis viešbutis netoli j?ros.																							
THALIA DECO HOTEL	Jaukiai atnaujintas viešbutis su gera lokacija.																							
THE ISLAND HOTEL	Suaugusi?j? viešbutis su moderniu dizainu ir ramia atmosfera.																							
THE IXIAN GRAND & ALL SUITES	Prabangus suaugusi?j? viešbutis ant papl?dimio Rode.																							
THE OLIVAR SUITES	Itin prabangios vilos ir liuksai su priva?iais baseinais.																							
THE ROMANOS A LUXURY COLLECTION RESORT	Vienas prestižiškiausi? Graikijos resort?, nepriekaištingas servisas.																							
THE ROYAL BLUE RESORT & SPA CRETE	Prabangus paj?rio resortas su ramaus poilsio atmosfera.																							
THE ROYAL GRAND HOTEL	Paprastesnis viešbutis šalia j?ros, ekonomiškas variantas.																							
THE ROYAL SENSES RESORT & SPA CRETE CURIO COLLECTION BY HILTON	Naujas, modernus ir labai aukšto lygio poilsio kompleksas.																							
THE WESTIN RESORT COSTA NAVARINO	Premium klas?s šeim? resortas vienoje gražiausi? viet? Peloponese.																							
THEARTEMIS PALACE	Itin gerai vertinamas miesto viešbutis, arti papl?dimio.																							
TROULIS APART HOTEL	Paprasti apartamentai, tinkami ekonomiškam poilsiui.																							
TRYP BY WYNDHAM CORFU DASSIA	Šiuolaikiškas viešbutis geroje vietoje.																							
TZAKI HOTEL	Jaukus ekonominis viešbutis prie j?ros.																							
UNDA	Modernus, naujas prabangus resortas ant j?ros.																							
UNIQUE BLUE RESORT & VILLAS	Stilingas, prabangus viešbutis su puikiu maitinimu.																							
UTOPIA BLU HOTEL	Šiuolaikiškas, šeimoms tinkantis viešbutis.																							
UZENIE ALL SUITES BOUTIQUE RESORT	Prabanga, privatumas ir aukš?iausio lygio aptarnavimas.																							
VALMAR CORFU BY LOUIS HOTELS	Naujas 5* viešbutis su aukštu komforto lygiu.																							
VANTARIS BLUE	Ramus viešbutis su patogia lokacija.																							
VANTARIS GARDEN	Žalia teritorija ir geri šeimyniniai kambariai.																							
VANTARIS LUXURY BEACH RESORT	Naujas, modernaus dizaino viešbutis ant papl?dimio.																							
VANTARIS PALACE	Didelis paj?rio viešbutis šeimoms, geras maitinimas.																							
VENTALE ISLAND BREEZE RESORT	Stilingas, modernus paj?rio resortas.																							
VERDE AL MARE BOUTIQUE HOTEL	Jaukus boutique viešbutis gamtos apsuptyje.																							
VILLAGE HEIGHTS RESORT	Apartament? tipo 5*, puikus variantas šeimoms.																							
VIRGINIA FAMILY RESORT	Geras kainos/kokyb?s santykis, tinka šeimoms.																							
W COSTA NAVARINO	?sp?dingas suaugusi?j? resortas – modernus, prabangus ir išskirtinis.																							
WHITE OLIVE ELITE RETHYMNO	Modernus, komfortiškas viešbutis ant j?ros.																							
WHITE OLIVE PREMIUM LINDOS	Tvarkingas ir populiarus viešbutis netoli Lindo.																							
WHITE PALACE STUDIOS	Paprasti apartamentai netoli papl?dimio.																							
WYNDHAM ATHENS RESIDENCE	Modernus miesto viešbutis At?nuose.																							
WYNDHAM GRAND ATHENS	Premium viešbutis su nuostabia miesto panorama.																							
XIDAS GARDEN CHARM HOTEL	Mielas viešbutis kalvotoje vietoje, gera atmosfera.																							
ZEUS HOTELS NEPTUNO BEACH	Šeim? m?gstamas papl?dimio viešbutis.																							
ZEUS HOTELS PALM BEACH	Paprastas viešbutis su gera lokacija.																							
ZEUS HOTELS YDORIA RESORT	Modernus, švarus ir patogus viešbutis.																							
AMATISTA (EX H.TOP ROYAL BEACH)	Geras kainos/kokyb?s santykis, arti papl?dimio.																							
BEST CAMBRILS	Ramus viešbutis šalia papl?dimio, tinka šeimoms ir vyresnio amžiaus keliautojams.																							
BEST CAP SALOU	Šalia papl?dimio, gera lokacija ekonomiškam poilsiui.																							
BEST LOS ANGELES	Viešbutis ant kalvos, graž?s vaizdai ir tvarkingi kambariai.																							
BEST MARITIM	Papl?dimio viešbutis su geru maitinimu ir puikia animacija.																							
BEST MEDITERRANEO	Paprastas, ekonomiškas viešbutis netoli j?ros.																							
BEST NEGRESCO	Viešbutis ant j?ros kranto, geras pasirinkimas ramesniam poilsiui.																							
BEST SAN FRANCISCO	Itin patogi vieta, arti papl?dimio ir miesto centro.																							
CALA FONT	Ramus viešbutis vaizdingoje ?lankoje, tinka poroms.																							
ESTIVAL PARK RESORT AND SPA	Milžiniškas kompleksas su SPA, tinkamas šeimoms su vaikais.																							
LAS VEGAS HOTEL	Labai patogi vieta Salou centre, kokybiškas maitinimas.																							
TAHITI PLAYA & SUITES Superior	Puigiai vertinamas viešbutis ant papl?dimio, modernus ir komfortiškas.																							
BEST BENALMADENA	Ramus viešbutis su j?ros panorama, tinka poroms.																							
BEST SIROCO	Geras kainos/kokyb?s santykis, arti j?ros.																							
